,title,url,address,latitude,longitude,price,info,description
10,"Fully furnished, newly renovated downtown home",https://www.kijiji.ca/v-apartments-condos/st-johns/fully-furnished-newly-renovated-downtown-home/1457960029,"43 Goodview St, St. John's, NL A1C 4G2, Canada",47.562835,-52.7141302,"$1,500.00 ","Unit Type: House *** Bedrooms: 3 *** Bathrooms: 2 *** Parking Included: 2 *** Agreement Type: Month-to-month *** Move-In Date: October 1, 2019 *** Pet Friendly: Limited *** Utilities Included: N/A *** Also Included: N/A *** Size (sqft): 1,200 *** Furnished: Yes *** Air Conditioning: No *** Smoking Permitted: Outdoors Only *** Appliances: Laundry (In Unit), Dishwasher, Fridge / Freezer, Microwave *** Personal Outdoor Space: Yard, Balcony","Newly renovated three bedroom, two bathroom semi detached in historic downtown St. John's. Fully furnished, including all appliances, bedding, kitchen supplies 鈥?move in ready. Backyard deck with patio set. On street parking. Available October 1: $1900/month POU Lease and references required. Email ernestinepower@hotmail.com to arrange viewing."
11,15 Ocean Edge Dr- Executive Furnished Nestled Along the Shore,https://www.kijiji.ca/v-apartments-condos/st-johns/15-ocean-edge-dr-executive-furnished-nestled-along-the-shore/1457896761,"15 Oceans Edge, Portugal Cove, NL, A1M 0G3",47.5910235,-52.8901872,"$3,800.00 ","Unit Type: House *** Bedrooms: 3 *** Bathrooms: 3 *** Parking Included: 1 *** Agreement Type: 1 Year *** Pet Friendly: No *** Utilities Included: N/A *** Also Included: N/A *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: No *** Appliances: Dishwasher, Fridge / Freezer *** Personal Outdoor Space: N/A","15 Ocean Edge Dr- Executive Fully Furnished Nestled Along the Shore of Scenic St. Philips Watch the setting sun over picturesque Bell Island and enjoy the breaching whales and frolicking porpoises as you stroll along the beach.You'll Live In Nearly 5000 Square Feet of Total Living Space on a Private and Oversized LotEnjoy Magnificent Views From Large Windows In Nearly Every Room!Sizeable, Paved Drive Leads to Double Garage Boasting Ample Parking and Storage SpaceEnter Through Grand Entryway Complete With Spacious and Chic FoyerSit On One Of Your Decks While Enjoying The Serenity of Your Ocean ViewsTechnology Smart Home Allows You To Protect Your Loved Ones and Your Treasures With It's Security FeaturesHigh End, Front Load Washer and Dryer IncludedChoose One Of 3 Bathrooms All With High End, Spa-Like FixturesGreat Room and Family Rooms Delight with Vaulted Ceilings, Floor To Ceiling Windows, Built In Fireplace and Access To Wrap Around DeckGaze in Awe At Your Elegant Chandeliers Which Dangle From The Detailed Finish Work of Your Ceiling Reminding You That No Corner Of This Home Has Been Overlooked in DesignRevel in The Marvelously Grand Kitchen Boasting Granite Counter Tops, Modern White Cabinets and All The Storage and Organizational Space One Could Ask ForEnjoy a Cozy Meal With Your Loved Ones In Front Of The Second Propane Fireplace on The Main Level Located In The Stand Alone Dining Room Just Off Your KitchenYou'll Rest Easliy In Your Astounding Master Bedroom Which Offers Entry To It's Own, Sizeable DeckDecompress In Your Sizeable Master Ensuite's Large, Jetted Soaker TubThree Bedrooms Painted Modern Colors and All Offer Large Closets and Windows With Soothing Views Of Conception BayLease required, no smoking,$3800 POUAVAILABLE October 1, 2019Call us for your viewing today! 763 5383"
12,House for sale,https://www.kijiji.ca/v-house-for-sale/st-johns/house-for-sale/1457926356,"Bay Bulls, Canada",47.3185144,-52.8155283,"$329,900.00 ","Bedrooms: 3 *** Bathrooms: 2 *** Size (sqft): 1,140","421 SS Hwy Bay Bulls Three Bedrooms Two Bath Open concept living/ kitchen 1140 sq ft Finished lawn Paved Driveway 329,000 Good credit no down payment Let鈥檚 talk for more info fraser@bellaliant.com 709 363 7222"
13,Beautiful 3 bed home in south land鈥檚 available now! REDUCED!,https://www.kijiji.ca/v-apartments-condos/st-johns/beautiful-3-bed-home-in-south-land-s-available-now-reduced/1457955667,"252 Green Acre Dr, St. John's, NL A1H 1C1, Canada",47.4955725,-52.8037584,"$1,400.00 ","Unit Type: House *** Bedrooms: 3 + Den *** Bathrooms: 2 *** Parking Included: 2 *** Agreement Type: Month-to-month *** Move-In Date: September 6, 2019 *** Pet Friendly: Yes *** Utilities Included: N/A *** Also Included: N/A *** Size (sqft): 2,000 *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: Outdoors Only *** Appliances: Laundry (In Unit), Dishwasher, Fridge / Freezer, Microwave *** Personal Outdoor Space: Yard, Balcony","Available for rent immediately! Beautiful home located on a quite sub-division just off Ruby Line. The home has three bedrooms and 2 full bathrooms. Includes a fridge, stove, microwave, dishwasher, washer/dryer. The basement has a rec room with a bar! Ideal for entertaining! There is also a large storage room. Outside there is parking for two vehicles and a back patio. There is a children鈥檚 playground across the road and walking trails nearby. The home is in close proximity to Walmart, grocery shopping, restaurants, new Costco, DT and schools NOW $1400.00 per month! REDUCED! POU. Damage deposit required ONLY ($500.00!!) No leases required 鈥搉o smoking 鈥損ets considered. Viewings available 7 days/ week Call for more info 746-2102 ,or 770-4010"
14,68 Bonavista St,https://www.kijiji.ca/v-apartments-condos/st-johns/68-bonavista-st/1457894167,"68 Bonavista Street, St. John's, NL, A1E 3Z9",47.5265262,-52.7733708,"$1,200.00 ",Unit Type: House *** Bedrooms: 4 *** Bathrooms: 2 *** Parking Included: 2 *** Agreement Type: 1 Year *** Pet Friendly: Limited *** Furnished: No *** Smoking Permitted: No,"Krown Property Management68 Bonavista St, St. John's, Available October 1st.Fridge, Stove, Dishwasher, Washer and Dryer includedOff Street ParkingElectric HeatNo SmokingPets NegotiableLease Required$1200.00Contact leasing@kpigroup.ca or call 709-738-4695 to set up a viewing!!"
15,REDUCED !!!! - 99 Pleasant St- furnished 2 bedroom plus office,https://www.kijiji.ca/v-apartments-condos/st-johns/reduced-99-pleasant-st-furnished-2-bedroom-plus-office/1457894058,"99 Pleasant St., St. John's, NL, A1E 1L5",47.5565581,-52.7167862,"$1,650.00 ","Unit Type: Townhouse *** Bedrooms: 3 *** Bathrooms: 3 *** Parking Included: 1 *** Agreement Type: 1 Year *** Pet Friendly: No *** Utilities Included: N/A *** Also Included: N/A *** Furnished: Yes *** Air Conditioning: No *** Smoking Permitted: No *** Appliances: Laundry (In Unit), Dishwasher, Fridge / Freezer, Microwave *** Personal Outdoor Space: Yard","REDUCED !!!! - 99 Pleasant St- Fully furnished 2 bedroom plus office downtownAMAZING FURNISHED DOWNTOWN ROW HOUSE! Close to down town shopping, restaurants, and pubs  Kitchen is equipped with stainless steel F/S and dishwasher, and all cooking necessities.   Large loft style master bedroomFunctional wood burning fireplace in Livingroom  Large patio space with nice size fenced in back garden  Rustic charm and high end furnishings  Beautifully furnished!!!  Fully equipped!!!  Cozy rec-room in basement  Laundry equipped with washer and dryer  Available NOW  $1650 POUContact @ 763-5383 to schedule a viewing!!"
16,2 bedroom house downtown. $1250 heat and light included,https://www.kijiji.ca/v-apartments-condos/st-johns/2-bedroom-house-downtown-1250-heat-and-light-included/1453839786,"2 Young St, St. John's, NL A1C 1Y7, Canada",47.5641339,-52.7130154,"$1,250.00 ","Unit Type: Townhouse *** Bedrooms: 2 *** Bathrooms: 1 *** Parking Included: 0 *** Agreement Type: 1 Year *** Move-In Date: August 19, 2019 *** Pet Friendly: Yes *** Utilities Included: Heat *** Also Included: N/A *** Size (sqft): 1,000 *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: No *** Appliances: Laundry (In Unit), Fridge / Freezer, Microwave *** Personal Outdoor Space: N/A","Live in the heart of St. John鈥檚! Semi-detached house for rent within easy walking distance to downtown, caf茅s, restaurants, the Rooms, and grocery store. Close to bus routes, including routes to Memorial University.The house has two bedrooms 鈥?one of the bedrooms has an additional small room attached. There is also a large living room. Pet-friendly within reason. On street parking. Unfurnished.Looking for a quiet, responsible tenant for this great location. No smoking.Cost is 1250 per month includes heat and electric. Available immediately."
17,3 bedroom home (East End) ,https://www.kijiji.ca/v-apartments-condos/st-johns/3-bedroom-home-east-end/1457923965,"A1L 0V4, Canada",47.541986,-52.8336039,"$1,200.00 ","Unit Type: House *** Bedrooms: 3 *** Bathrooms: 1.5 *** Parking Included: 2 *** Agreement Type: 1 Year *** Move-In Date: September 1, 2019 *** Pet Friendly: Limited *** Utilities Included: Water *** Also Included: N/A *** Size (sqft): 1,750 *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: No *** Appliances: Laundry (In Unit), Laundry (In Building), Dishwasher, Fridge / Freezer *** Personal Outdoor Space: Yard, Balcony","3 bedroom home in East End near Marine Institute, CONA, YMCA. On bus route, bus stop close. Flexible moving date. **Fridge, stove, dishwasher, washer, dryer, air exchanger. **Large laundry room, separate storage room, spacious rec room downstairs. **Fully fenced large backyard with access to storage shed. Large patio with beautiful views of St.Johns narrows. 1200, POU . No smoking , no parties. Parking available ***BRAND NEW FLOORING TO BE INSTALLED, no carpet*** Email or text 685-4353."
18,REDUCED! 34 Woodland Drive - 6 Bdrm Executive Home In Portugal,https://www.kijiji.ca/v-apartments-condos/st-johns/reduced-34-woodland-drive-6-bdrm-executive-home-in-portugal/1457897337,"34 Woodland Drive, Portugal Cove-St-Philips, NL, A1M 0C1",47.6397181,-52.8123898,"$1,950.00 ","Unit Type: House *** Bedrooms: 5+ *** Bathrooms: 4 *** Parking Included: 3+ *** Agreement Type: 1 Year *** Pet Friendly: No *** Utilities Included: N/A *** Also Included: N/A *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: No *** Appliances: Laundry (In Unit), Dishwasher, Fridge / Freezer *** Personal Outdoor Space: N/A","REDUCED! 34 Woodland Drive - 6 Bedroom Executive Home In Portugal Cove - St. Phillip'sAmazing and Large Private Lot !This Beautiful House Was Built in 2010 with 3980 Square Feet Of Living Space!Located on a 1/2 Acre Lot in a Quiet Residential Neighborhood!Fully Finished Basement3 Full Bathrooms and 1 Half BathIncludes Single Car Attached GarageAdditional Parking for Up To 4 Cars In Sizeable DrivewayVaulted CeilingsNatural Hardwood Floors ThroughoutEmergency Back Up PanelIn Floor HeatingStainless Steel Appliances - Fridge, Stove, Microwave and DishwasherWasher and Dryer Included in Laundry Room   Absolutely No Smoking and NO pets.     $1950 POU    Available NOW    Promotional Plans Offered on Cable, Internet and Home Phone Packages    Call us @ 763-5383 for your viewing today!"
19,3 BEDROOM HOME LOCATED ON A GOOD SIZED LOT WITH LARGER SHED,https://www.kijiji.ca/v-house-for-sale/st-johns/3-bedroom-home-located-on-a-good-sized-lot-with-larger-shed/1457953811,"11 Wisemans Rd, Clarenville, NL A5A 4P4, Canada",48.1923803,-53.9697177,"$139,900.00 ",Bedrooms: 3 *** Bathrooms: 1,"A WELL CONSTRUCTED 3 BEDROOM HOME LOCATED ON A GOOD SIZED LOT WITH LARGER SHED (30 X 10). THE PROPERTY HAS BACK YARD VEHICLE ACCESS TO THE SHED. HOME HAS AN EXTRA LARGE LIVING ROOM, NEWER LAMINATE & VINYL FLOORING THROUGHOUT. ROOF WAS DONE 7 TO 8 YEARS AGO AND ICE GUARD PLACED UNDERNEATH SINGLES ON FULL SURFACE OF ROOF, BATHROOM WAS REDONE APPROXIMATELY 7 YEARS AGO. HOME ALSO HAS AN AIR EXCHANGER. BASEMENT IS PARTIALLY DEVELOPED WITH WALK OUT GROUND LEVEL ACCESS. THE WOOD STOVE IN BASEMENT IS A BONUS, HELPING HEATING COST. A VERY AFFORDABLE HOME FOR A FIRST TIME HOME BUYER OR SOMEONE LOOKING TO DOWNSIZE. MLS庐#:	1190894"
20,fully furnished room for rent,https://www.kijiji.ca/v-room-rental-roommate/st-johns/fully-furnished-room-for-rent/1457892795,"29 Merrymeeting Rd, St. John's, NL A1C 2V7, Canada",47.5657244,-52.7175961,$450.00 ,Furnished: Yes *** Pet Friendly: No,"Medium sized fully furnished room for rent in centre of the city - 69 Feild Street. The house is large with a nice layout. You will share the house with 5 other individuals. Access to 2 bathrooms, laundry, Internet, shared living room. Rental references are required. Preference will be given to working person or mature student."
21,"3 Bedroom House For Rent In Powers Pond, Mt. Pearl",https://www.kijiji.ca/v-apartments-condos/st-johns/3-bedroom-house-for-rent-in-powers-pond-mt-pearl/1457922833,"37 O'Flaherty Crescent, Mount Pearl, NL A1N 4M4, Canada",47.5129982,-52.82285,"$1,200.00 ","Unit Type: House *** Bedrooms: 3 *** Bathrooms: 2 *** Parking Included: 1 *** Agreement Type: Month-to-month *** Move-In Date: September 1, 2019 *** Pet Friendly: No *** Utilities Included: Water *** Also Included: N/A *** Size (sqft): 2,400 *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: Outdoors Only *** Appliances: Dishwasher, Fridge / Freezer *** Personal Outdoor Space: Yard, Balcony","For Rent 3 Bedroom, 2 Baths, Large Rec Room downstairs. Private Rear Deck, Shed in back. Includes Fridge, Stove, Dishwasher, Venmar Heat Recovery Unit. W/D hookup. In walking distance to sobeys and other amenities."
22,1122 Conception Bay Highway - Cozy Single Family Home in CBS,https://www.kijiji.ca/v-apartments-condos/st-johns/1122-conception-bay-highway-cozy-single-family-home-in-cbs/1457897135,"1122 Conception Bay Highway, CBS, NL, A1X 4G2",47.4849239,-53.0433961,$995.00 ,"Unit Type: House *** Bedrooms: 3 *** Bathrooms: 1 *** Parking Included: 1 *** Agreement Type: 1 Year *** Pet Friendly: Yes *** Utilities Included: N/A *** Also Included: N/A *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: No *** Appliances: Laundry (In Unit), Dishwasher, Fridge / Freezer *** Personal Outdoor Space: N/A","1122 Conception Bay Highway - Cozy Little Single Family Home in CBSPet Friendly and VERY AffordableThree Bedrooms and 1 BathroomLarge Entryway - Perfect For OrganizationBathroom Includes Like New Finishes and Large BathtubQuaint Eat In Kitchen Includes Fridge, Stove and Portable DishwasherLarge Main Level Laundry Room With Lots of Storage Space and Exit To Side Yard Includes Washer and DryerSizeable Living RoomLaminant Flooring ThroughoutFreshly PaintedPrivate Lot - No Neighbors Right Next To YouPet FriendlyBack and Side on To Green SpaceVery Low Electric BillsClose to Amenities and Highway AccessTons of Storage Space!No smoking, Lease and Security Deposit RequiredAVAILABLE NOW!Now Only $995 POU !!!!!Promotional Plans Offered On Cable, Internet and Home Phone PackagesCall us to view this unique property today! 709-763-5383"
23,SPACIOUS HOME WITH MORE THAN AN ACRE OF OCEAN FRONT LAND,https://www.kijiji.ca/v-house-for-sale/st-johns/spacious-home-with-more-than-an-acre-of-ocean-front-land/1457953323,"92 Trinity Drive, Milton A5A 3A2 NL, Canada",48.157009,-53.9573519,"$315,000.00 ",Bedrooms: 3 *** Bathrooms: 2,"LOOKING FOR OCEAN FRONT PROPERTY IN THE CLARENVILLE AREA? YOU HAVE FOUND IT! THIS SPACIOUS HOME WITH MORE THAN AN ACRE OF OCEAN FRONT LAND IS A MUST SEE. HAVE YOUR MORNING COFFEE ON THE REAR DECK AND ENJOY YOUR PRIVACY WITH A THE BREATH TAKING VIEW OF THE OCEAN. THIS HOME IS OPEN CONCEPT LIVING/DINING KITCHEN WITH THREE LARGE BEDROOMS AND TWO BATHROOMS ON THE MAIN LEVEL. THIS HOME HAS A LARGE KITCHEN WITH LOTS OF CUPBOARDS & CERAMIC TILE, HARDWOOD FLOORING THROUGHOUT THE LIVINGROOM, DININGROOM & HALLWAY. PARTIALLY DEVELOPED BASEMENT, WALK OUT GROUND LEVEL, WITH LOTS OF STORAGE. AND THERE IS A GOOD SIZE SHED AS A BONUS! MLS庐#:	1191433"
24,"House - 3 BR, 1 1/2 baths",https://www.kijiji.ca/v-apartments-condos/st-johns/house-3-br-1-1-2-baths/1457887945,"A1A 4X6, Canada",47.6025404,-52.7515013,"$1,250.00 ","Unit Type: House *** Bedrooms: 3 *** Bathrooms: 1.5 *** Parking Included: 2 *** Agreement Type: 1 Year *** Move-In Date: October 1, 2019 *** Pet Friendly: Yes *** Utilities Included: N/A *** Also Included: N/A *** Size (sqft): 1,400 *** Furnished: No *** Air Conditioning: No *** Smoking Permitted: No *** Appliances: Laundry (In Unit), Laundry (In Building), Dishwasher, Fridge / Freezer *** Personal Outdoor Space: Yard, Balcony","Two story 3 bedroom, 1 1/2 baths with main floor den. Hardwood on main. Dishwasher, fridge. Stove, washer, dryer, and air exchanger. Downstairs storage area. On bus route and walking distance to Roncalli Elementary school. Available October 1st. $1250/month POU. Small dog permitted. No smoking."
25,OCEAN VIEW LOG HOME BUILT by Adventure Log Homes Of Newfoundland,https://www.kijiji.ca/v-house-for-sale/st-johns/ocean-view-log-home-built-by-adventure-log-homes-of-newfoundland/1457869570,"52 Harbour Dr, Hillview, NL A0E 2A0, Canada",48.0237716,-53.9598114,"$199,900.00 ",Bedrooms: 3 *** Bathrooms: 1,"BEAUTIFUL OCEAN VIEW LOG HOME BUILT by Adventure Log Homes Of Newfoundland. Home is sitting on close to an acre of land with lots of privacy on each side and to the rear. Nestled in the beautiful community of Northwest Brook with peaceful and tranquil views of the ocean. Main floor features open concept kitchen and dining, two bedrooms, full bath, spacious living room with cathedral ceilings and large windows that offers an abundance of natural light. Basement is mostly developed and offers plenty of extra space with a third bedroom, family room, half bath, laundry room & mudroom with exterior ground level entrance. 	MLS庐#:	1201168"
